Names,NAB_M9,CAB_M9,NAB_M9T,CAB_M9T
b3459,149.459971666667,122.213948,95.567676,147.008632
b3460,2120.73544566667,737.30857,2477.288138,1401.171187
b3461,238.646142666667,224.153128,217.4580995,264.88005
b3462,160.057466,163.7981115,152.5623275,161.891614
b3463,165.976784333333,187.0908065,161.752537,178.81319
b3464,262.196376,246.367259,219.670586,262.286583
b3465,76.014946,84.7272375,71.3597315,84.397018
b3466,33.6682806666667,32.583761,23.898865,16.583788
b3467,139.981375,100.2785295,112.4789985,107.693872
b3468,77.187564,63.2205875,70.278814,79.563932
b3469,18.627022,24.649718,14.225157,33.854264
b3470,239.306881333333,228.989306,230.533427,224.165126
b3471,6.74583633333333,11.1536605,9.316393,14.036385
b3472,169.164388,182.4720785,164.3812105,188.555546
b3473,14.8980566666667,13.663123,10.6498085,9.964822
b3474,32.0509256666667,34.66751,30.532549,36.372621
b3475,33.805349,36.0462215,25.239892,29.542243
b3476,0.537259333333333,0.742982,0.5235035,0.988155
b3477,1.17583933333333,0.1481225,0.7503655,0.745343
b3478,1.37533933333333,1.233169,1.318087,1.324121
b3479,1.79764,1.517324,1.9803445,1.494985
b3480,1.050765,0.795917,0.9272455,0.462049
b3481,112.537540666667,114.352306,93.6703895,107.206682
b3482,6.59019,5.5582955,5.4720065,4.593446
b3483,11.1538533333333,7.8661325,9.7326155,10.39455
b3484,3.40125966666667,5.454023,4.5142345,5.280637
b3485,54.5388146666667,47.610408,68.1570365,60.972061
b3486,43.773895,42.694315,47.1799675,40.253807
b3487,160.857328,157.737411,183.011238,172.854873
b3488,11.8369866666667,12.924921,11.0908065,12.783755
b4660,1.51525133333333,1.8384215,1.5659505,1.73723
b3491,2.01620066666667,1.68675,2.8516785,2.58853
b3492,33.746495,42.526387,39.4927895,48.954314
b3493,49.2009936666667,45.5136885,51.2355965,45.216871
b3494,53.306849,67.890125,40.9214835,104.600674
b3495,7459.22058266667,8653.3246845,6729.5759435,8894.024827
b3496,4.75800033333333,6.372269,5.413618,7.075782
b3497,49.7509226666667,54.363876,50.144148,39.251233
b3498,121.72302,142.251096,100.044876,147.386678
b3499,23.6406683333333,20.4101815,22.7055575,15.220783
b3500,130.76073,161.431447,111.58936,155.836157
b4613,0,0,0,0
b3501,4.64282033333333,4.5302615,4.566618,3.411205
b3502,1.19635633333333,1.813481,2.3832755,2.258639
b3503,33.1396656666667,43.4691125,37.9335685,33.685959
b3504,1.58483966666667,2.216699,1.08253,1.873813
b3506,28.2605533333333,13.293154,29.3177535,35.198831
b3507,4.35116466666667,3.8884075,4.00405,4.345063
b3508,5.83074266666667,7.3173335,7.260672,8.267268
b3509,1677.39370466667,1688.1869465,1559.9317715,2374.686238
b3510,678.527966333333,471.057659,602.695845,561.34203
b3511,28.5587816666667,23.948675,31.914596,36.146522
b3512,48.549842,37.801398,61.854705,118.400577
b3513,5.56495066666667,4.019749,5.5023795,3.154849
b3514,8.329201,6.164437,8.9842015,7.914449
b3515,170.472021333333,177.798961,133.9662115,201.923829
b3516,283.495465333333,288.52954,137.264429,202.981873
b3517,18.6311006666667,26.8565505,34.216335,60.854104
b3518,10.1420743333333,17.63488,9.812368,17.531248
b3519,88.11324,117.0537255,58.616192,119.223843
b3520,68.104495,60.3515375,76.566194,94.445691
b3521,15.7859906666667,16.103792,15.1820835,19.492494
b3522,20.6521756666667,24.4672365,22.7051635,27.519008
b3523,337.89145,214.720052,228.39132,239.949336
b3524,86.9938213333333,118.851304,110.5208745,168.419709
b3525,493.711260666667,617.15534,1281.0364255,1563.957857
b3526,102.275687,114.808195,100.895963,115.348487
b3527,60.1471766666667,53.788944,56.950113,57.284827
b3528,10.597858,9.8866235,16.9057715,11.325366
b3529,45.9617043333333,45.496291,41.8689135,53.006301
b3530,24.9448006666667,25.9688865,22.6264535,29.940138
b3531,10.2603136666667,8.266077,11.1315695,14.874239
b3532,3.911877,2.726496,3.4470505,3.90129
b3533,4.63118766666667,7.538592,5.7020045,8.890184
b3534,27.07192,31.8978735,23.9066825,24.468301
b3535,47.1884196666667,57.4948075,27.10827,45.802141
b3536,112.390120333333,166.751916,97.722569,148.357482
b3537,62.467927,47.998083,39.4854525,33.206814
b3538,42.2279336666667,54.700272,37.056894,36.839679
b4453,18.2238666666667,23.7926485,80.269769,117.779084
b3539,4.00705133333333,4.136697,3.387201,5.872155
b3540,48.4889696666667,48.042439,60.9476245,32.308342
b3541,21.785533,19.7306575,28.7339225,19.785561
b3542,18.0726493333333,13.7290145,20.932144,8.316765
b3543,16.6228076666667,13.5800655,19.236874,6.74296
b3544,2304.04214966667,1676.8037065,3140.751214,2093.767048
b3546,11.08302,9.105414,16.597638,12.36061
b3547,5.053038,5.052267,6.3863735,8.154153
b3548,108.166915666667,155.435675,137.5963185,226.069671
b3549,107.457896666667,151.9328885,101.855885,184.591193
b3550,49.751098,70.2941665,31.8741015,80.145668
b3551,73.443177,98.5390095,81.021767,117.877884
b3552,14.9938746666667,13.7545035,13.5721675,4.94854
b3553,426.32727,370.6264325,320.9248135,365.469373
b3554,124.935599,135.969367,108.3471425,144.604013
b3555,681.385928333333,1025.8972,578.6873455,844.763909
b3556,62.2598563333333,66.809556,60.21852,35.212853
b4455,13.9666013333333,9.368564,9.7873205,29.527613
b3557,17.719479,17.494767,24.2642005,19.660285
b3558,3.61235833333333,4.1035725,5.8656755,8.572045
b3559,150.531687,152.5510475,114.763714,120.96808
b3560,195.835482,185.238245,134.793412,163.349437
b4553,28.3229006666667,73.653067,34.386165,80.039285
b3561,11.216951,15.2593585,10.3381755,15.997037
b3562,23.6265626666667,34.904774,24.349321,38.139381
b3563,7.545446,6.5081595,7.208788,12.68235
b3564,22.2997753333333,27.181611,18.593626,29.084884
b3565,18.860036,19.2264985,20.1683245,21.172
b3566,3.91984366666667,4.4637995,2.826859,4.538766
b3567,4.61872933333333,3.829968,4.167004,8.712507
b3568,4.388815,3.210972,2.4582325,6.709078
b3569,25.522466,25.0602975,20.7200795,24.678033
b3570,184.470567,140.877699,237.3678405,219.560966
b3571,10.2299913333333,9.0666995,9.281995,9.586582
b3572,298.532621,271.1055545,228.078845,251.761497
b3573,7.31438333333333,16.3191125,11.4372205,20.913333
b3574,65.4346806666667,75.8134205,74.058934,76.660477
b3575,0.693813,0.8811705,0.5787575,2.424806
b3576,1.41177066666667,0.985439,1.088022,3.202978
b3577,0.337234666666667,0.554189,0,1.045667
b3578,0.271914333333333,0,0.4998135,0.253844
b3579,0.436818333333333,0.328759,0.3576865,0
b3580,4.44996733333333,5.823344,4.310368,6.714705
b3581,2.78995266666667,5.0380405,2.6645605,3.071856
b3582,5.60082533333333,6.0141305,4.9413935,4.224923
b3583,8.45743866666667,12.777158,11.695214,12.575047
b3584,16.3797783333333,18.232212,14.2774675,19.823321
b3585,18.755885,18.1097345,21.348232,24.316945
b3586,3.291074,4.351067,3.8294355,5.86946
b3587,0,0,1.3631175,3.978231
b3588,23.5623273333333,21.0706625,18.8610085,23.963695
b3589,0.68699,0.58068,1.066633,0.288679
b3590,44.646192,45.7196475,39.6368365,40.469992
b3591,66.387455,66.74219,58.23993,64.53797
b3592,123.108049,138.0686605,84.5508175,113.299656
b3593,3.14944433333333,3.1560775,3.5683125,4.128246
b3594,17.139041,17.893736,23.943985,15.220783
b3595,14.478938,12.933005,16.0581895,17.49747
b3596,9.08342933333333,8.463628,6.855456,9.815173
b4650,2.364384,2.9482715,2.0646065,3.147715
b4615,2.80231466666667,1.7406295,1.883655,1.867869
b3597,14.946997,24.3861355,17.671501,23.184365
b3598,42.4437286666667,76.095678,46.5904,76.767178
b3599,51.1929426666667,55.985343,73.9893415,90.709776
b3600,82.8967856666667,100.3070965,88.6556135,95.286593
b3601,70.024644,83.954392,92.5973305,87.149617
b4554,1070.90440633333,1571.706924,736.712323,1035.194016
b3602,478.565563,413.0116245,376.8744485,434.469558
b3603,9.84822533333333,8.8520215,8.580549,12.114373
b3604,32.5662906666667,28.3624545,18.3588435,29.731968
b3605,56.6307686666667,57.454302,38.722371,43.475884
b3606,10.5386646666667,8.684286,13.4799285,6.274
b3607,172.983885666667,155.194493,145.9435805,154.921604
b3608,146.845582333333,124.4781025,145.243037,93.38999
b3609,418.154237,433.1154965,339.005228,402.507622
b3610,687.009000333333,696.6196065,582.0810555,733.417515
b3611,208.185735666667,233.657025,231.7659635,235.195999
b3612,390.252045666667,329.9813545,277.1300795,272.299887
b3613,105.738912666667,111.129837,129.7025405,112.359047
b3614,19.838853,20.182194,24.9676575,18.979151
b3615,1.82985266666667,2.113638,3.473824,5.624208
b3616,61.9642533333333,97.8025755,44.273897,97.032377
b3617,60.578934,91.805637,35.545528,75.952838
b3618,129.032645333333,136.436796,121.096175,130.747686
b3619,524.117443,480.0965445,372.3284055,459.035471
b3620,59.7653593333333,59.556827,47.849324,39.44039
b3621,95.419595,109.540895,115.039803,91.24592
b3622,51.2414476666667,42.645648,73.644954,33.061972
b3623,55.6557296666667,63.350254,51.926507,63.726714
b3624,35.2671906666667,45.8440945,41.3938465,47.574851
b3625,69.2228903333333,68.1334115,50.0204785,64.753624
b3626,77.3501636666667,88.8769415,81.3743875,101.193393
b3627,53.5441813333333,54.6064165,52.2815515,59.675192
b3628,30.922525,38.750671,26.632799,47.299514
b3629,63.362218,69.4588115,61.3995345,66.429772
b3630,98.3851763333333,126.9812435,98.6278115,116.404288
b3631,69.1652593333333,75.4185625,59.2481155,84.171186
b3632,62.3597046666667,76.893892,61.4327235,80.393088
b3633,33.0403683333333,39.827947,46.692946,31.984348
b3634,37.8058113333333,31.1414255,30.775307,22.527255
b3635,26.728574,22.9738235,35.0000525,28.498476
b3636,542.364565333333,472.041355,730.295801,434.719207
b3637,299.418402,258.996886,418.634125,261.872252
b3638,10.2577516666667,14.127275,15.3618485,14.547514
b3639,181.374186666667,184.631767,196.273969,236.54944
b3640,92.2258333333333,95.735884,121.269231,115.924763
b3641,107.707703,113.7348045,131.634385,147.153775
b3642,12.0394453333333,7.748096,22.233292,23.213783
b3643,49.9514753333333,64.7061585,66.0420605,85.055868
b3644,160.420854666667,173.036429,136.482058,165.670167
b3645,19.31047,16.46467,13.447611,11.650174
b3646,3.867396,5.8821395,9.9888765,5.469944
b3647,21.7689906666667,20.167102,28.5285245,30.544728
b3648,174.913607333333,172.4517755,164.6297485,187.932225
b3649,1655.180919,1730.019781,1448.323216,1317.75418
b3650,151.411063,151.757165,138.2626455,137.675927
b3651,50.695963,43.1793925,55.493079,45.728083
b3652,40.3794596666667,36.048841,45.3098875,41.877486
b3653,17.6942173333333,18.2022675,10.1392,11.996329
b3654,40.213699,21.5923425,38.6440355,28.607256
b3655,96.2289646666667,103.789027,79.2688025,102.168042
b3656,9.020553,10.4129085,9.506336,10.042123
b3657,2.70125533333333,3.4000915,4.8599705,3.690406
b3659,1.86827266666667,1.943284,0.8473115,1.950643
b3660,22.026413,20.6541725,22.9469035,24.575764
b3661,252.647948,599.628931,1194.1128205,222.699811
b4555,33.160086,43.982731,54.041046,97.193244
b3662,8.33340166666667,7.970845,7.588497,11.076658
b3663,10.360039,8.459146,12.0005915,6.763291
b3664,0.916360666666667,0.807124,0.5662675,0.240704
b3665,6.56097,7.9910085,6.6010745,9.33561
b3666,115.555293333333,169.6401495,350.702634,372.809764
b3667,13.7936763333333,12.0959375,11.8492255,12.445452
b3668,8.20490666666667,11.5053585,11.836998,8.144859
b3669,91.9953763333333,100.976246,110.88982,75.468344
b3670,35.2801163333333,159.9392085,38.631402,24.136112
b3671,62.1279383333333,208.2353855,55.8474255,26.957966
b3672,163.293879333333,0,79.6638915,0
b4618,0,0,0,0
b3673,0.821717333333333,2.53353,0.6495675,2.507969
b3674,6.31392,4.825453,5.4392815,4.820079
b3675,10.32043,8.023907,7.0180485,4.900033
b3676,30.6065303333333,27.0945795,18.0485335,50.937275
b3677,20.1970426666667,19.527718,20.767087,13.682198
b3678,4.48803833333333,5.3608105,4.5356045,6.73069
b3679,1.51861333333333,1.8502005,1.693569,1.609473
b3680,9.10422033333333,15.117011,12.9026975,18.063705
b3681,2.94657433333333,2.841223,2.604456,3.247303
b3682,0.623736666666667,1.851333,3.273505,0
b3683,0.642076333333333,1.1734025,1.026916,0.607112
b3684,8.310428,8.620825,9.7985195,9.850323
