Names,NAB,CAB_1,CAB_2
b2182,71.810645,75.866415,65.6212293333333
b2183,97.622772,91.0799056666667,87.3843116666667
b2184,16.4783866666667,16.9692853333333,17.3269963333333
b2185,1133.11950033333,1279.29733733333,1072.903487
b2186,61.3145456666667,62.7269506666667,68.0927076666667
b2187,112.222472666667,97.6558176666667,107.43324
b2188,110.545671333333,107.630497,101.840114666667
b2190,13.4488486666667,14.6132136666667,13.556095
b2193,70.2986463333333,66.515189,69.5328393333333
b2194,28.86414,29.5793746666667,28.9130823333333
b2195,29.1249006666667,29.7645043333333,28.2202996666667
b2196,20.6081586666667,21.9190926666667,19.3149693333333
b2197,24.7684206666667,26.6842416666667,19.4316263333333
b2198,8.21496666666667,17.520577,11.119088
b2199,27.7475326666667,33.790731,24.963573
b2200,13.6965316666667,12.5528033333333,9.40328233333334
b2201,36.858555,43.570643,36.05381
b2202,27.1411583333333,25.6866283333333,28.5359023333333
b2203,11.4023563333333,9.987313,10.8365953333333
b2204,13.950374,15.6771986666667,13.6716856666667
b2205,25.060456,21.2112896666667,22.238804
b2206,18.9878223333333,18.5252666666667,19.2169036666667
b2207,4.280749,2.52642,3.80199866666667
b2208,15.1090456666667,13.8348133333333,10.8650506666667
b4604,0,0,4.50888933333333
b2209,191.650139333333,183.604266,189.321417333333
b2210,34.4312626666667,32.0289736666667,31.6317496666667
b2211,20.662333,23.4254553333333,19.8466006666667
b2212,13.8023426666667,15.640177,13.4479413333333
b2213,56.594667,56.5920573333333,61.041233
b2214,19.718846,18.5666536666667,17.047002
b2215,5935.24581766667,6112.32355533333,6084.84282333333
b2216,98.1930746666667,94.733335,91.6617026666667
b2217,511.683569333333,526.514176666667,506.886870333333
b2218,56.49434,59.128887,51.7258193333333
b2219,8.66263966666667,9.391762,7.63588
b2220,9.81279233333333,10.8038563333333,9.79174533333333
b2221,1.82922866666667,1.838378,1.79054866666667
b2222,0.812709666666667,1.114529,0.777540666666667
b2223,1.867178,1.305663,1.30896633333333
b2224,3.614622,3.57423233333333,2.90631333333333
b2225,1.819439,2.322185,1.95312666666667
b2226,3.23350533333333,3.10819966666667,2.64000033333333
b4500,3.51575133333333,3.33399533333333,2.66557033333333
b2229,1.916355,2.420874,2.14636466666667
b2230,3.37622466666667,3.97512266666667,3.362602
b2231,292.325646,265.478448,295.203213666667
b2232,141.332857,128.417064666667,165.234212666667
b2233,9.52870833333333,9.76416066666667,8.05034033333333
b4605,0,0,0
b2234,174.700138,166.859254333333,170.119569
b2235,118.199561333333,120.868600333333,121.156627
b2236,158.869141,150.907711333333,185.702703333333
b2237,53.9154493333333,55.337901,56.0601973333333
b2238,25.9975253333333,16.055069,22.697251
b2239,676.201786,751.307613,673.869673666667
b2240,855.632535,963.671713,783.528881666667
b2241,477.804070666667,421.478156666667,451.887880333333
b2242,374.884151333333,345.866167,372.254808
b2243,328.323873666667,308.140680666667,331.330443333333
b2244,3.929744,3.28122933333333,3.11549066666667
b4543,11.0328196666667,14.5568493333333,7.141915
b2245,7.82140166666667,7.11132233333333,8.077126
b2246,3.85661,4.49316766666667,3.97484266666667
