Names,NAB,CAB_1,CAB_2,CAB_3,CAB_4
b0231,35.223697,24.318883,53.9330633333333,25.2033473333333,51.712023
b0232,38.3654085,0,48.475907,23.7109166666667,34.6432713333333
b0233,1.4879445,0,0,0.710754333333333,0.975839666666667
b0234,0,0,0,0,0
b0235,21.1101055,0,0,6.27757,7.91374433333333
b0236,8.965388,9.988398,12.8019483333333,9.15756,12.4061853333333
b0237,146.0952465,206.495935,196.059419666667,335.889475333333,466.018885333333
b0238,58.2070775,98.633169,220.858989333333,89.5232603333333,118.016815
b0239,40.07184,62.673119,133.221960666667,94.1502906666667,146.262742666667
b0240,1634.747766,2173.40808,2239.05028866667,1376.82613133333,1950.93032033333
b0241,2.592663,0.426647,1.85331833333333,1.417851,1.962978
b0242,54.024642,121.475161,90.0550143333333,94.3269523333333,215.178619666667
b0243,58.4478195,83.258615,55.1338296666667,63.608827,118.450692666667
b4626,0,0,0,0,0
b0245,0,0,0,0,0
b0246,0,0,0,0,0
b4504,0,0,0,0,0
b0247,0,0,0,0,0
b0248,0,0,0,0,0
b0249,0,0,0,0,0
b0250,0,0,0,0,0
b0251,0,0,0,0,0
b0252,0,0,0,0,0
b0253,0,0,0,0,0
b0254,0,0,0,0,0
b4587,0.354979,0,0.466538666666667,1.29091766666667,3.26094933333333
b0256,23.1810565,15.469855,42.6189103333333,33.637132,44.8444623333333
b0258,0,0,0,0,0
b0259,56.4664905,49.36539,113.031548,57.0083196666667,114.032620666667
b0260,0,0,0,0,0
b0261,0,0,0,0,0
b0262,0,0,0,0,0
b0263,0,0,0,0,0
b0264,3.516536,2.818266,4.86813066666667,9.862705,5.173044
b0265,657.281327,212.047014,751.681027333333,294.952913,502.120482
b0266,0,0,0,0,0
b0267,0,0,0,0,0
b0268,0,0,0,0,0
b0269,0,0,0,0,0
b0270,0,0,0,0,0
b0271,0,0,0,0,0
b0272,0,0,0,0,0
b0273,0,0,0,0,0
b4688,0,0,0,0,0
b0276,0,0,0,0,0
b0277,0,0,0,0,0
b0278,0,0,0,0,0
b0279,0,0,0,0,0
b4729,0,0,0,0,0
b0280,0,0,0,0,0
b0281,0,0,0,0,0
b0282,4.5943665,2.26985,12.7789436666667,6.857161,6.717663
b0283,2.0353515,5.364545,4.27931133333333,5.81449333333333,7.633296
b0284,4.8692215,2.791775,5.71325366666667,4.79511366666667,5.959966
b0285,3.3593875,1.950744,5.82095033333333,7.21335933333333,9.23462733333333
b0286,5.389078,2.381632,5.39709066666667,4.365198,7.43806433333333
b0287,128.673373,72.278491,20.661631,18.6543113333333,9.09996366666667
b0288,17.6118825,4.261242,3.51527733333333,11.5510563333333,10.3469026666667
b0289,16.357212,13.617695,24.5469613333333,14.2487793333333,25.7006543333333
b0290,11.5732725,4.160154,9.49838066666667,7.97646833333333,17.240432
b0291,3.726022,1.492497,2.85396433333333,2.30593033333333,3.21496233333333
b0292,0.372277,0.835098,2.536386,1.39327766666667,1.63014766666667
b0293,9.817335,6.264556,4.263103,3.31602666666667,6.05481466666667
b0294,3.73945,0,1.45763633333333,3.618947,1.13712466666667
b0295,17.791136,0,7.06655133333333,26.664855,27.676349
b4506,0,0,0,0,0
b0296,16.81876,0,17.2024146666667,9.05515633333333,10.1134193333333
b4671,0,0,0,0,0
b4630,0,0,0,0,0
b0297,1.312163,0,1.52780833333333,1.257974,1.39905466666667
b0298,197.2760425,209.739614,529.064660333333,332.426165666667,712.325339
b0299,28.40509,26.34748,62.448463,64.4542,122.147484666667
b0300,17.4873595,11.992801,14.036368,4.80093033333333,13.8202433333333
b0301,0.2253545,5.125491,0,2.43735933333333,1.73839333333333
b0303,0,10.498579,0,0,0
b0304,9.659766,4.452928,3.39430066666667,4.34462766666667,2.96821533333333
b0305,3.889393,5.147884,4.903127,2.327956,4.447151
b0306,8.383865,82.316353,146.06636,81.3381746666667,82.4521193333333
b0307,17.3582345,62.096049,113.279875333333,78.2437926666667,58.964552
b0308,4.2105915,3.914224,34.1749176666667,23.821613,17.222008
b0310,4.3516605,2.505295,2.74055566666667,3.401407,2.375379
b0311,20.8719275,34.802221,17.2843406666667,16.413022,71.0637996666667
b0312,46.7151615,85.483676,45.92444,51.499557,222.785570333333
b0313,60.9635595,106.497453,72.7881406666667,51.5910533333333,233.398403333333
b0314,53.664346,51.505626,20.9302346666667,23.5662016666667,61.303172
b4730,0,0,0,0,0
b0315,11.9420165,12.696318,5.27968166666667,4.69128766666667,4.445626
b0316,47.4855125,25.260371,22.71888,7.97968166666667,11.940403
b0317,0.617012,4.335262,3.370678,2.907681,1.036706
b0318,10.845274,7.912843,3.33408733333333,5.00246733333333,5.56960066666667
b0319,1.234888,2.816962,3.11189233333333,2.77664133333333,1.68789866666667
b0320,3.888456,1.315135,2.31418966666667,2.44017666666667,2.77534166666667
b0321,4.3465565,2.047021,1.85012933333333,2.37514333333333,2.38242366666667
b0322,3.4624425,0,4.08468066666667,7.07844266666667,0
b0323,1.082584,3.935615,1.66516366666667,3.126944,2.818616
b0324,7.4955385,18.110927,17.9877966666667,23.233922,38.3735496666667
b0325,24.397598,16.33652,11.837523,18.363986,42.1741486666667
b0326,5.0777025,1.224908,3.94609133333333,1.32628,3.064895
b0327,16.519159,28.854457,14.123245,3.124786,0
b0328,130.1007765,165.789899,934.211521,401.834028,102.615188333333
b0329,1400.659432,266.478387,77.2261213333333,80.040498,104.937329666667
